best_seller,bracelet,ring,necklace,earring,choker,pendant,mesh,gold,silver,white,titanium,ip,rose,steel,mat_sum,pearl,topaz,amazonite,gemstones,spinel,onyx,gem_sum,diamonds,ruby,puregold,blend,logprice
0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,4,1,0,0,0,0,0,1,0,0,0,1,6.866933284461882
0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,4,0,0,0,0,0,1,1,0,0,0,1,6.866933284461882
0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,1,6.672032945461067
0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,4,0,0,0,0,0,1,1,0,0,0,1,6.672032945461067
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.327936783729195
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,5.966146739123692
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,6.7912214627261855
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,6.327936783729195
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,5.966146739123692
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,6.492239835020471
0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1,1,0,0,0,1,6.12029741895095
0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,1,6.12029741895095
0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,1,6.897704943128636
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,2,0,0,1,0,7.937374696163295
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,7.495541943884256
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,5.666426688112432
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,5.666426688112432
